,nDCG@1,MRR@1,P@1,Recall@1,MAP@1,nDCG@5,MRR@5,P@5,Recall@5,MAP@5,nDCG@10,MRR@10,P@10,Recall@10,MAP@10,nDCG@20,MRR@20,P@20,Recall@20,MAP@20
0.0,0.7,0.7,0.7,0.7,0.7,0.7946,0.775,0.17,0.85,0.775,0.7946,0.775,0.085,0.85,0.775,0.7946,0.775,0.0425,0.85,0.775
0.3,0.71,0.71,0.71,0.71,0.71,0.797,0.7783,0.17,0.85,0.7783,0.797,0.7783,0.085,0.85,0.7783,0.797,0.7783,0.0425,0.85,0.7783
0.5,0.64,0.64,0.64,0.64,0.64,0.7712,0.7433,0.17,0.85,0.7433,0.7712,0.7433,0.085,0.85,0.7433,0.7712,0.7433,0.0425,0.85,0.7433
0.7,0.66,0.66,0.66,0.66,0.66,0.7799,0.755,0.17,0.85,0.755,0.7799,0.755,0.085,0.85,0.755,0.7799,0.755,0.0425,0.85,0.755
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0221,0.0089,0.007,0.07,0.0089,0.2087,0.0546,0.0425,0.85,0.0546
