,nDCG@1,MRR@1,P@1,Recall@1,MAP@1,nDCG@5,MRR@5,P@5,Recall@5,MAP@5,nDCG@10,MRR@10,P@10,Recall@10,MAP@10,nDCG@20,MRR@20,P@20,Recall@20,MAP@20
0.1,0.67,0.67,0.67,0.67,0.67,0.7823,0.7583,0.17,0.85,0.7583,0.7823,0.7583,0.085,0.85,0.7583,0.7823,0.7583,0.0425,0.85,0.7583
0.25,0.66,0.66,0.66,0.66,0.66,0.7753,0.7492,0.17,0.85,0.7492,0.7753,0.7492,0.085,0.85,0.7492,0.7753,0.7492,0.0425,0.85,0.7492
0.5,0.69,0.69,0.69,0.69,0.69,0.7803,0.7567,0.17,0.85,0.7567,0.7803,0.7567,0.085,0.85,0.7567,0.7803,0.7567,0.0425,0.85,0.7567
0.75,0.54,0.54,0.54,0.54,0.54,0.7243,0.6808,0.17,0.85,0.6808,0.7243,0.6808,0.085,0.85,0.6808,0.7243,0.6808,0.0425,0.85,0.6808
1.0,0.41,0.41,0.41,0.41,0.41,0.6384,0.5742,0.166,0.83,0.5742,0.6453,0.5773,0.085,0.85,0.5773,0.6453,0.5773,0.0425,0.85,0.5773
