,nDCG@1,MRR@1,P@1,Recall@1,MAP@1,nDCG@5,MRR@5,P@5,Recall@5,MAP@5,nDCG@10,MRR@10,P@10,Recall@10,MAP@10,nDCG@20,MRR@20,P@20,Recall@20,MAP@20
5,0.35,0.35,0.35,0.35,0.35,0.5668,0.517,0.142,0.71,0.517,0.5668,0.517,0.071,0.71,0.517,,,,,
10,0.35,0.35,0.35,0.35,0.35,0.5668,0.517,0.142,0.71,0.517,0.5772,0.5218,0.074,0.74,0.5218,,,,,
20,0.35,0.35,0.35,0.35,0.35,0.5668,0.517,0.142,0.71,0.517,0.5772,0.5218,0.074,0.74,0.5218,0.594,0.5259,0.0405,0.81,0.5259
50,0.35,0.35,0.35,0.35,0.35,0.5668,0.517,0.142,0.71,0.517,0.5772,0.5218,0.074,0.74,0.5218,0.594,0.5259,0.0405,0.81,0.5259
100,0.35,0.35,0.35,0.35,0.35,0.5668,0.517,0.142,0.71,0.517,0.5772,0.5218,0.074,0.74,0.5218,0.594,0.5259,0.0405,0.81,0.5259
