,nDCG@1,MRR@1,P@1,Recall@1,MAP@1,nDCG@5,MRR@5,P@5,Recall@5,MAP@5,nDCG@10,MRR@10,P@10,Recall@10,MAP@10,nDCG@20,MRR@20,P@20,Recall@20,MAP@20
1,0.58,0.58,0.58,0.58,0.58,0.7425,0.705,0.17,0.85,0.705,0.7425,0.705,0.085,0.85,0.705,0.7425,0.705,0.0425,0.85,0.705
3,0.63,0.63,0.63,0.63,0.63,0.7668,0.7375,0.17,0.85,0.7375,0.7668,0.7375,0.085,0.85,0.7375,0.7668,0.7375,0.0425,0.85,0.7375
5,0.77,0.77,0.77,0.77,0.77,0.8205,0.81,0.17,0.85,0.81,0.8205,0.81,0.085,0.85,0.81,0.8205,0.81,0.0425,0.85,0.81
7,0.73,0.73,0.73,0.73,0.73,0.8057,0.79,0.17,0.85,0.79,0.8057,0.79,0.085,0.85,0.79,0.8057,0.79,0.0425,0.85,0.79
