,nDCG@1,MRR@1,P@1,Recall@1,MAP@1,nDCG@5,MRR@5,P@5,Recall@5,MAP@5,nDCG@10,MRR@10,P@10,Recall@10,MAP@10,nDCG@20,MRR@20,P@20,Recall@20,MAP@20
1e-05,0.69,0.69,0.69,0.69,0.69,0.7767,0.755,0.168,0.84,0.755,0.7803,0.7567,0.085,0.85,0.7567,0.7803,0.7567,0.0425,0.85,0.7567
2e-05,0.67,0.67,0.67,0.67,0.67,0.7796,0.755,0.17,0.85,0.755,0.7796,0.755,0.085,0.85,0.755,0.7796,0.755,0.0425,0.85,0.755
3e-05,0.66,0.66,0.66,0.66,0.66,0.7799,0.755,0.17,0.85,0.755,0.7799,0.755,0.085,0.85,0.755,0.7799,0.755,0.0425,0.85,0.755
5e-05,0.78,0.78,0.78,0.78,0.78,0.8242,0.815,0.17,0.85,0.815,0.8242,0.815,0.085,0.85,0.815,0.8242,0.815,0.0425,0.85,0.815
